FB Chorales,,,,,,
Breitkopf Chorales,,,,,,
"Opus BWV
* indicates dubious FB",Breitkopf Number,Name of the cantata,Date of first performance,Text setting,NBA location,Musicological comments
3.06,39/77,"Ach Gott, wie manches Herzeleid","Jan 14, 1725",Erhalt mein Herz im Glauben rein,"I vol.5, p.228",
5.07,304,Wo soll ich fliehen hin,"Oct 15, 1724",Führ auch ein Herz und Sinn,"I vol.24, p.172",
6.06,72,"Bleib bei uns, denn es will Abend werden","Apr 2, 1725","Beweis dein Macht, Herr Jesu Christ","I vol.10, p.68",
8.06,43,"Liebster Gott, wenn werd ich sterben?","Sep 24, 1724",Herrscher über Tod und Leben,"I vol.23, p.161-62",
9.07,290,Es ist das Heil uns kommen her,1732-1735,Ob sich's anließ als wollt' er nicht,"I vol.17.2, p.123",
10.07,358,Meine Seel erhebt den Herren,"Jul 2, 1724",Lob und Preis sei Gott dem Vater und dem Sohn,"I vol.28.2, p.177",two versions: continuo (a.) and organ (b.)
11.06,343,Lobet Gott in seinen Reichen,"May 19, 1735",Nun lieget alles unter dir,"II vol.8, p.41",
13.06,103,"Meine Seufzer, meine Tränen","Jan 20, 1726","So sei nun, Seele, deine","I vol.5, p.253",
14.05,182,Wär Gott nicht mit uns diese Zeit,"Jan 30, 1735","Gott Lob und Dank, der nicht zugab","I vol.6, p.170",
16.06,99,"Herr Gott, dich loben wir","Jan 1, 1726",All solch dein Güt wir preisen,"I vol.4, p.130",figures missing m. 1 to m. 9
19.07,298,Es erhub sich ein Streit,"Sep 29, 1726",Laß dein Angel mit mir fahren,"I vol.30, p.95-96",instrumental chorale
20.07,26,"O Ewigkeit, du Donnerwort","Jun 11, 1724",Solang ein Gott im Himmel lebt,"I vol.15, p.168",
20.11,26,"O Ewigkeit, du Donnerwort","Jun 11, 1724",Solang ein Gott im Himmel lebt,"I vol.15, p.168",
24.06,337,Ein ungefärbt Gemüte,"Jun 11, 1724","O Gott, du frommer Gott","I vol.17.1, p. 72",interlude chorale
26.06,48,"Ach wie flüchtig, ach wie nichtig","Nov 19, 1724","Ach wie flüchtig, ach wie nichtig","I vol.27, p.58",
29.08,116,"Wir danken dir, Gott, wir danken dir","Aug 27, 1731",Sein Lob und Preis mit Ehren,"I vol.32.2, p.50",instrumental chorale
30.06,76,"Freue dich, erlöste Schar",c. 1738,Eine Stimme läßt sich hören,"I vol.29, p.88",
33.06,13,"Allein zu dir, Herr Jesu Christ","Sep 3, 1724",Ehr sei Gott im dehn höchten Thron,"I vol.21, p.56",
36.04,86,Schwingt freudig euch empor,"Dec 2, 1731",Zwingt die Saiten in Cythara,"I vol.1, p.63",
36.08,28,Schwingt freudig euch empor,"Dec 2, 1731","Lob sei Gott, dem Vater ton","I vol.1, p.74",
37.06,341,Wer da gläubet und getauft wird,"May 18, 1724",Den Glauben mir verleihe,"I vol.12, p.100",
38.06,10,Aus tiefer Not schrei ich zu dir,"Oct 29, 1724",Ob bei uns ist der Sünden viel,"I vol.25, p.240",two versions: continuo (a.) and organ (b.)
40.03,321,Darzu ist erschienen der Sohn Gottes,"Dec 26, 1723",Die Sünd macht Leid,"I vol.3.1, p.32",
40.06,142,Darzu ist erschienen der Sohn Gottes,"Dec 26, 1723",Schüttle deinen Kopf und Sprich ,"I vol.3.1, p.43",
42.07,91,Am Abend aber desselbigen Sabbats,"Apr 8, 1725",Verleih uns Frieden gnädiglich,"I vol.11.1, p.105-06",
43.11,102,Gott fähret auf mit Jauchzen,"May 30, 1726","Du Lebensfürst, Herr Jesu Christ","I vol.12, p.164",
47.05,94,"Wer sich selbst erhöhet, der soll erniedriget werden","Oct 13, 1726",Der zeitlichen Ehrn will ich gern entbehrn,"I vol.23, p.360",
48.07,266,"Ich elender Mensch, wer wird mich erlösen","Oct 3, 1723","Herr Jesu Christ, einiger Trost","I vol.24, p.132",figures missing m. 3 to the end
57.08,90,Selig ist der Mann,"Dec 26, 1725","Richte dich, Liebste, nach neimen Gefalen und glaübe","I vol.3.1, p.110",
62.06,170,"Nun komm, der Heiden Heiland","Dec 3, 1724","Lob sei Gott, dem Vater, ton","I vol.1, p.98",
64.08*,138,"Sehet, welch eine Liebe hat uns der Vater erzeiget","Dec 3, 1724","Jesu, meine Freude","III vol.2.1, p.15",the FB is encoded in the bass line
67.07,42,Halt im Gedächtnis Jesum Christ,"Apr 16, 1724","Du Friedefürst, Herr Jesu Christ","I vol.11.1, p. 60",
73.05,191,"Herr, wie du willt, so schicks mit mir","Jan 23, 1724",Das ist des Vaters Wille,"I vol.6, p.22",
74.08,370,"Wer mich liebet, der wird mein Wort halten","May 20, 1725",Kein Menschenkind hier auf der Erd,"I vol.13, p.128",
78.07,297,"Jesu, der du meine Seele","Sep 10, 1724","Herr, ich glaube, hilf mir Schwachen ","I vol.21, p.146",instrumental chorale
81.07,324,"Jesus schläft, was soll ich hoffen?","Jan 30, 1724",Unter deinen Schirmen,"I vol.6, p.136",
83.05,325,Erfreute Zeit im neuen Bunde,"Feb 2, 1724",Er ist das Heil und selig Licht,"I vol.28.1, p.30",
89.06,281,"Was soll ich aus dir machen, Ephraim","Oct 24, 1723",Mir mangelt zwar seht viel,"I vol.26, p.20",
91.06,51,"Gelobet seist du, Jesu Christ","Dec 25, 1724",Das hat er alles uns getan,"I vol.2, p.170",instrumental chorale
94.08,291,Was frag ich nach der Welt,"Aug 6, 1724",Was frag ich nach der Welt,"I vol.19, p.86",
96.06,303,"Herr Christ, der einge Gottessohn","Oct 8, 1724",Ertöt uns durch dein Güte ,"I vol.24, p.58",
102.07,110,"Herr, deine Augen sehen nach dem Glauben","Aug 25, 1726","Heut lebst du, heut bekehre dich","I vol.19, p.275",
104.06,326,"Du Hirte Israel, höre","Apr 23, 1724","Der Herr ist mein, getreuer Hirt","I vol.11.1, p.156",
108.06,45,"Es ist euch gut, daß ich hingehe","Apr 29, 1725","Dein Geist, den Gott vom Himmel gibt","I vol.12, p.44",
112.05,313,Der Herr ist mein getreuer Hirt,"Apr 8, 1731",Gutes und die Barmherzigkeit,"I vol.11.1, p.218",instrumental chorale
113.08,294,"Herr Jesu Christ, du höchstes Gut","Aug 20, 1724",Stärk mich mit deinem Freudengeist,"I vol.20, p.116",
114.07,301,"Ach, lieben Christen, seid getrost","Oct 1, 1724",Wir wachen oder schlafen ein,"I vol.23, p.318",
115.06,38,"Mache dich, mein Geist, bereit","Nov 5, 1724",Drum so laßt uns immerdar,"I vol.26, p.54",
117.04*,248 ; 354,Sei Lob und Ehr dem höchsten Gut,1728-1731,Sei Lob und Ehr dem höchsten Gut,"III vol.2.1, p.9",the FB is encoded in the bass line
117.09*,248 ; 354,Sei Lob und Ehr dem höchsten Gut,1728-1731,Sei Lob und Ehr dem höchsten Gut,"III vol.2.1, p.9",the FB is encoded in the bass line
121.06,56,Christum wir sollen loben schon,"Dec 26, 1724","Lob, ehr und Dank sei dir gesagt","I vol.3.1, p.80",
126.06,215,"Erhalt uns, Herr, bei deinem Wort","Feb 4, 1725",Verleih uns Frieden gnädiglich,"I vol.7, p.177-78",
133.06,60,Ich freue mich in dir,"Dec 27, 1724",Wohlan so will ich mich,"I vol.3.1, p.166",
136.06,331,"Erforsche mich, Gott, und erfahre mein Herz","Jul 18, 1723","Dein Blut, der edle Saft","I vol.18, p.158",instrumental chorale
140.07,179,"Wachet auf, ruft uns die Stimme","Nov 25, 1731",Gloria sei dir gesungen,"I vol.27, p.190",
145.05,17,"Ich lebe, mein Herze, zu deinem Ergötzen","Apr 19, 1729",Drum wir auch billig fröhlich sein,"I vol.10, p.128",
153.01,3,"Schau, lieber Gott, wie meine Feind","Jan 2, 1724","Schau, lieber Gott, wie mein Feind","I vol.4, p.201",
153.05,21,"Schau, lieber Gott, wie meine Feind","Jan 2, 1724",Und ob gleich alle Teufel,"I vol.4, p.204",
153.09,217,"Schau, lieber Gott, wie meine Feind","Jan 2, 1724","Drum will ich, weil ich lebe noch","I vol.4, p.216",
154.03,233,Mein liebster Jesus ist verloren,"Jan 9, 1724","Jesu, mein Hort und Erretter","I vol.5, p.96",
159.05,61,"Sehet, wir gehn hinauf gen Jerusalem","Feb 29, 1729","Jesu, deine Passion","I vol.8.1, p.168",
161.06,270,"Komm, du süße Todesstunde","Sep 27, 1716",Der Leib zwar in der Erden,"I vol.23, p.31 and p.63","instrumental chorale 
two versions: (a.) with flute in Eb, (b.) with flute in C"
168.06,92,Tue Rechnung! Donnerwort,"Jul 29, 1725",Stärk mich mit deinem Freudengeist,"I vol.19, p.108",
172.06,323,"Erschallet, ihr Lieder, erklinget, ihr Saiten!","May 20, 1714",Von Gott kömmt mir ein Freudenschein,"I vol.13, p.63-64",instrumental chorale
174.05,58,Ich liebe den Höchsten von ganzem Gemüte,"Jun 6, 1729","Herzlich lieb hab ich dich, o Herr","I vol.14, p.117",
176.06,119,Es ist ein trotzig und verzagt Ding,"May 27, 1725",Auf daß wir also allzugleich,"I vol.15, p.35",
177.05,71,"Ich ruf zu dir, Herr Jesu Christ","Jul 6, 1732",Ich lieg im Streit und widerstreb,"I vol.17.1, p.114",two versions: continuo (a.) and organ (b.)
187.07,109,Es wartet alles auf dich,"Aug 4, 1726",Gott hat die Erde zugericht,"I vol.18, p.127",
194.06,256,Höchsterwünschtes Freudenfest,"Nov 2, 1723",Heilger Geist ins Himmels Throne,"I vol.31, p.204",instrumental chorale
244.03,78,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729","Herzliebester Jesu, was hast du verbrochen","II vol.5, p.32",
244.10,117,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729","Ich bins, ich sollte büßen","II vol.5, p.49",
244.15,98,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729","Erkerne mich, mein Hüter","II vol.5, p.58",
244.25,115,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729","Was mein Gott will, das gscheh allzeit","II vol.5, p.90",
244.32,118,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",Mir hat die Welt trüglich gericht,"II vol.5, p.163",
244.37,50,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",Wer hat dich so geschlagen,"II vol.5, p.175",
244.40,121,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",Bin ich gleich von dir gewichen,"II vol.5, p.185",
244.44,80,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",Befiehl du deine Wege ,"II vol.5, p.197",
244.46,105,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",Wie wunderbarlich ist doch diese Strafe,"II vol.5, p.203",
244.54,74,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",O Haupt voll Blut und Wunden,"II vol.5, p.224",
244.62,89,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",Wenn ich einmal soll scheiden,"II vol.5, p.254",
245.03,59,Johannes-Passion,"Apr 7, 1724",O große Lieb,"II vol.4, p.23",
245.11,63,Johannes-Passion,"Apr 7, 1724",Wer hat dich so geschlagen,"II vol.4, p.40",
245.14,83,Johannes-Passion,"Apr 7, 1724","Petrus, der nicht denkt zurück","II vol.4, p.50",the figure / seems to mean bass passing dissonance on a strong beat m. 11.4 and m. 15.2
245.15,81,Johannes-Passion,"Apr 7, 1724","Christus, der uns delig macht","II vol.4, p.51",
245.17,111,Johannes-Passion,"Apr 7, 1724","Ach großer König, groß zu allen Zeiten","II vol.4, p.63",
245.22,310,Johannes-Passion,"Apr 7, 1724","Durch dein Gefängnis, Gottes Sohn","II vol.4, p.93",
245.26,108,Johannes-Passion,"Apr 7, 1724",In meines Herzens Grunde,"II vol.4, p.120",
245.28,106,Johannes-Passion,"Apr 7, 1724",Er nahm alles wohl in acht,"II vol.4, p.130",
245.37,113,Johannes-Passion,"Apr 7, 1724","O hilf, Christe, Gottes Sohn","II vol.4, p.151",
245.40,107,Johannes-Passion,"Apr 7, 1724","Ach Herr, laß dein lieb Engelein","II vol.4, p.163-64",
248.05,345,Weihnachts-Oratorium,"Dec 25, 1734",Wie soll ich dich empfangen,"II vol.6, p.42",
248.09,46,Weihnachts-Oratorium,"Dec 25, 1734",Ach mein herzliebes Jesulein,"II vol.6, p.53-54",interlude chorale
248.12,361,Weihnachts-Oratorium,"Dec 25, 1734","Brich an, o schönes Morgenlicht","II vol.6, p.66",
248.23,344,Weihnachts-Oratorium,"Dec 25, 1734",Wir singen dir in deinem Heer,"II vol.6, p.103-06",interlude chorale
248.33,139,Weihnachts-Oratorium,"Dec 25, 1734",Ich will mit dich Fleiß bewahren,"II vol.6, p.141",
248.35,360,Weihnachts-Oratorium,"Dec 25, 1734",Seid froh dieweil,"II vol.6, p.142",
248.42,368,Weihnachts-Oratorium,"Dec 25, 1734",Jesus richte mein Beginnen,"II vol.6, p.192-98",interlude chorale
248.46,77,Weihnachts-Oratorium,"Dec 25, 1734",Dein Glanz all Finsternis verzehrt,"II vol.6, p.222",
248.53,35,Weihnachts-Oratorium,"Dec 25, 1734",Zwar ist solche Herzenstube,"II vol.6, p.242",
248.59,362,Weihnachts-Oratorium,"Dec 25, 1734",Ich steh an deiner Krippen hier,"II vol.6, p.286",
250*,347,,,"Was Gott tut, das ist wohlgetan","III vol.2.1, p.3",instrumental chorale
251*,329,,,Sei Lob und Ehr dem höchsten Gut,"III vol.2.1, p.4",instrumental chorale
252*,330,,,Nun danket alle Gott,"III vol.2.1, p.5",instrumental chorale
Other 4-voice Chorales,,,,,,
Opus BWV,,,,Text setting,NBA location,"Musicological comments
Measure numbers : NBA (musicXML)"
7.07,,Christ unser Herr zum Jordan kam,"Jun 24, 1724",Das Aug allein das Wasser sieht,"I vol.29, p.58",
31.09,,Der Himmel lacht! Die Erde jubilieret,"Apr 21, 1715",So fahr ich hin zu Jesu Christ,"I vol.9, p.102",instrumental chorale
67.04,,Halt im Gedächtnis Jesum Christ,"Apr 16, 1724",Erschienen ist der herrlich Tag,"I vol.11.1, p.41",
70.07,,Wachet! betet! betet! wachet!,"Apr 16, 1724","Freu dich sehr, o meine Seele","I vol.27, p.134",
72.06,,Alles nur nach Gottes Willen,"Jan 27, 1726","Was mein Gott will, das gscheh allzeit","I vol.6, p.88",
76.07,,Die Himmel erzählen die Ehre Gottes,"Jun 6, 1723",Es woll uns Gott genädig sein,"I vol.16, p.59","interlude chorale
"
93.07,,Wer nur den lieben Gott läßt walten,"Jul 9, 1724","Sing, bet, und geh auf Gottes Wegen ","I vol.17.2, p.30",
97.09,,In allen meinen Taten,1734 ?,"So sei nun, Seele, deine","I vol.34, p.237","instrumental chorale
"
100.06,,"Was Gott tut, das ist wohlgetan",1733-1734,"Was Gott tut, das ist wohlgetan","I vol.34, p.292","interlude chorale
figures missing m.25 to the end"
105.06,,"Herr, gehe nicht ins Gericht mit deinem Knecht","Jul 25, 1723","Nun, ich weiß, du wirst mir stillen","I vol.19, p.40",instrumental chorale
113.01,,"Herr Jesu Christ, du höchstes Gut","Aug 20, 1724","Herr Jesu Christ, du höchstes Gut","I vol.20, p.81",interlude chorale
124.06,,Meinen Jesum laß ich nicht,"Jan 7, 1725",Jesum lass ich nicht von mir,"I vol.4, p.142",
125.06,,Mit Fried und Freud ich fahr dahin,"Feb 2, 1725",Er ist das Heil und selig Licht,"I vol.28.1, p.65",
128.05,,Auf Christi Himmelfahrt allein,"May 10, 1725",Alsdenn so wirst du mich,"I vol.12, p.132",instrumental chorale
129.05,,"Gelobet sei der Herr, mein Gott","Jun 8, 1727",Dem wir das Heilig itzt,"I vol.15, p.78",interlude chorale
135.06,,"Ach Herr, mich armen Sünder","Jun 25, 1724",Ehr sei ins Himmels Throne,"I vol.16, p.229",
137.05,,"Lobe den Herren, den mächtigen König der Ehren","Aug 19, 1725","Lobe den Herren, was in mir ist, lobe den Namen","I vol.20, p.214",instrumental chorale
139.06,,"Wohl dem, der sich auf seinen Gott","Nov 12, 1724",Dahero Trotz der Höllen Heer!,"I vol.26, p.130",
149.07,,Man singet mit Freuden vom Sieg,"Sep 29, 1728","Ach Herr, laß dein lieb Engelein","I vol.30, p.139","instrumental chorale (only the last measure)
figures missing except m.3-4 and m.19-20"
157.05,,"Ich lasse dich nicht, du segnest mich denn","Feb 6, 1727",Meinen Jesum laß ich nicht,"I vol.34, p.66",
167.05,,"Ihr Menschen, rühmet Gottes Liebe","Jun 24, 1724","Sei Lob und Preis mit Ehren
","I vol.29, p.18",interlude chorale
